StartTime,ServiceTime,RequestID,RequestFile,CPU,Memory
18:06:19,0:00:00.140029,alex,4e46774fd3597774a047418f756c2412242275071,5.0,35.1
18:06:26,0:00:00.127072,alex,4e46774fd3597774a047418f756c2412242275072,10.0,35.1
18:06:42,0:00:00.226755,alex,4e46774fd3597774a047418f756c2412242275073,0.0,35.2
18:06:51,0:00:00.131916,alex,4e46774fd3597774a047418f756c2412242275074,5.3,35.2
18:07:01,0:00:00.098716,alex,4e46774fd3597774a047418f756c2412242275075,10.5,35.2
18:07:09,0:00:00.090496,alex,4e46774fd3597774a047418f756c2412242275076,5.3,35.2
18:07:17,0:00:00.127086,alex,4e46774fd3597774a047418f756c2412242275077,0.0,35.3
18:07:25,0:00:00.116722,alex,4e46774fd3597774a047418f756c2412242275078,10.0,35.3
18:07:33,0:00:00.080588,alex,4e46774fd3597774a047418f756c2412242275079,10.5,35.3
18:07:43,0:00:00.098581,alex,4e46774fd3597774a047418f756c24122422750710,0.0,35.3
18:07:51,0:00:00.103037,alex,4e46774fd3597774a047418f756c24122422750711,0.0,35.3
18:07:59,0:00:00.129727,alex,4e46774fd3597774a047418f756c24122422750712,5.3,35.3
18:08:08,0:00:00.109855,alex,4e46774fd3597774a047418f756c24122422750713,10.0,35.3
18:08:17,0:00:00.086311,alex,4e46774fd3597774a047418f756c24122422750714,5.6,35.3
18:08:26,0:00:00.207485,alex,4e46774fd3597774a047418f756c24122422750715,5.3,35.2
18:08:35,0:00:00.124195,alex,4e46774fd3597774a047418f756c24122422750716,5.9,35.3
18:08:44,0:00:00.086183,alex,4e46774fd3597774a047418f756c24122422750717,5.6,35.3
18:08:54,0:00:00.310447,alex,4e46774fd3597774a047418f756c24122422750718,50.0,35.6
18:09:03,0:00:00.182709,alex,4e46774fd3597774a047418f756c24122422750719,15.0,36.1
18:09:11,0:00:00.248160,alex,4e46774fd3597774a047418f756c24122422750720,10.0,36.1
18:09:19,0:00:00.137769,alex,4e46774fd3597774a047418f756c24122422750721,52.6,37.1
18:09:28,0:00:00.108863,alex,4e46774fd3597774a047418f756c24122422750722,15.8,38.8
18:09:38,0:00:00.141644,alex,4e46774fd3597774a047418f756c24122422750723,5.3,39.4
18:09:46,0:00:00.157648,alex,4e46774fd3597774a047418f756c24122422750724,14.3,39.4
18:09:56,0:00:00.109500,alex,4e46774fd3597774a047418f756c24122422750725,10.0,39.4
18:10:06,0:00:00.081259,alex,4e46774fd3597774a047418f756c24122422750726,14.3,39.4
18:10:15,0:00:00.101557,alex,4e46774fd3597774a047418f756c24122422750727,0.0,39.4
18:10:25,0:00:00.122732,alex,4e46774fd3597774a047418f756c24122422750728,5.3,39.4
18:10:33,0:00:00.087208,alex,4e46774fd3597774a047418f756c24122422750729,10.0,39.4
18:10:42,0:00:00.107190,alex,4e46774fd3597774a047418f756c24122422750730,0.0,39.4
18:10:50,0:00:00.122452,alex,4e46774fd3597774a047418f756c24122422750731,5.6,39.4
18:11:00,0:00:00.099499,alex,4e46774fd3597774a047418f756c24122422750732,0.0,39.4
18:11:09,0:00:00.107698,alex,4e46774fd3597774a047418f756c24122422750733,0.0,39.4
18:11:19,0:00:00.124106,alex,4e46774fd3597774a047418f756c24122422750734,13.6,40.0
18:11:28,0:00:00.114734,alex,4e46774fd3597774a047418f756c24122422750735,14.3,39.8
18:11:37,0:00:00.106363,alex,4e46774fd3597774a047418f756c24122422750736,15.0,39.8
18:11:46,0:00:00.086726,alex,4e46774fd3597774a047418f756c24122422750737,5.3,39.8
18:11:55,0:00:00.096207,alex,4e46774fd3597774a047418f756c24122422750738,10.5,39.8
18:12:03,0:00:00.110320,alex,4e46774fd3597774a047418f756c24122422750739,5.6,39.8
18:12:11,0:00:00.096464,alex,4e46774fd3597774a047418f756c24122422750740,5.3,39.8
18:12:20,0:00:00.093479,alex,4e46774fd3597774a047418f756c24122422750741,10.0,39.8
18:12:29,0:00:00.113552,alex,4e46774fd3597774a047418f756c24122422750742,5.3,39.8
18:12:37,0:00:00.119760,alex,4e46774fd3597774a047418f756c24122422750743,5.0,39.8
18:12:47,0:00:00.112300,alex,4e46774fd3597774a047418f756c24122422750744,15.0,39.8
18:12:55,0:00:00.080883,alex,4e46774fd3597774a047418f756c24122422750745,10.5,39.8
18:13:04,0:00:00.104264,alex,4e46774fd3597774a047418f756c24122422750746,0.0,39.8
18:13:12,0:00:00.141012,alex,4e46774fd3597774a047418f756c24122422750747,5.3,39.8
18:13:22,0:00:00.091139,alex,4e46774fd3597774a047418f756c24122422750748,10.5,39.8
18:13:32,0:00:00.082827,alex,4e46774fd3597774a047418f756c24122422750749,11.1,39.8
18:13:40,0:00:00.114856,alex,4e46774fd3597774a047418f756c24122422750750,10.5,39.8
18:13:49,0:00:00.082866,alex,4e46774fd3597774a047418f756c24122422750751,19.0,39.8
18:13:59,0:00:00.103301,alex,4e46774fd3597774a047418f756c24122422750752,10.5,39.8
18:14:09,0:00:00.120839,alex,4e46774fd3597774a047418f756c24122422750753,10.5,39.8
18:14:17,0:00:00.209766,alex,4e46774fd3597774a047418f756c24122422750754,15.0,40.0
18:14:26,0:00:00.107959,alex,4e46774fd3597774a047418f756c24122422750755,15.0,40.0
18:14:35,0:00:00.108392,alex,4e46774fd3597774a047418f756c24122422750756,10.5,40.0
18:14:44,0:00:00.142594,alex,4e46774fd3597774a047418f756c24122422750757,5.3,40.0
18:14:53,0:00:00.095699,alex,4e46774fd3597774a047418f756c24122422750758,14.3,40.0
18:15:02,0:00:00.154797,alex,4e46774fd3597774a047418f756c24122422750759,5.3,40.0
18:15:12,0:00:00.131101,alex,4e46774fd3597774a047418f756c24122422750760,10.0,40.0
